"DateTime","2021 All-Star Game"
"2021-04-09 10:06:46",9702
"2021-04-09 11:06:57",9804
"2021-04-09 12:07:12",9768
"2021-04-09 13:07:52",9739
"2021-04-09 14:06:44",9712
"2021-04-09 15:08:53",9722
"2021-04-09 16:17:46",9648
"2021-04-09 17:06:50",9648
"2021-04-09 18:07:01",9648
"2021-04-09 19:32:47",9648
"2021-04-09 20:11:05",9648
"2021-04-09 21:06:34",9641
"2021-04-09 22:06:45",9658
"2021-04-09 23:06:08",9664
"2021-04-10 00:06:16",9608
"2021-04-10 01:06:13",9616
"2021-04-10 02:06:27",9602
"2021-04-10 03:06:08",9623
"2021-04-10 04:07:08",9585
"2021-04-10 05:05:51",9564
"2021-04-10 06:06:08",9556
"2021-04-10 07:06:06",9523
"2021-04-10 08:07:11",9547
"2021-04-10 09:06:10",9521
"2021-04-10 10:06:20",9521
"2021-04-10 11:06:36",9409
"2021-04-10 12:06:36",9342
"2021-04-10 13:06:36",9347
"2021-04-10 14:06:33",9213
"2021-04-10 15:06:40",9173
"2021-04-10 16:06:37",9220
"2021-04-10 17:06:30",9204
"2021-04-10 18:06:34",9200
"2021-04-10 19:06:35",9202
"2021-04-10 20:06:44",9259
"2021-04-10 21:06:40",9322
"2021-04-10 22:06:48",9263
"2021-04-10 23:06:31",9194
"2021-04-11 00:06:27",9236
"2021-04-11 01:06:22",9259
"2021-04-11 02:06:27",9236
"2021-04-11 03:06:19",9340
"2021-04-11 04:06:07",9322
"2021-04-11 05:06:11",9317
"2021-04-11 06:06:15",9316
"2021-04-11 07:06:15",9306
"2021-04-11 08:06:22",9365
"2021-04-11 09:06:25",9371
"2021-04-11 10:06:30",9362
"2021-04-11 11:06:30",9295
"2021-04-11 12:06:42",9390
"2021-04-11 13:06:48",9369
"2021-04-11 14:07:03",9277
"2021-04-11 15:07:09",9183
"2021-04-11 16:07:07",9148
"2021-04-11 17:07:02",9135
"2021-04-11 18:07:06",9135
"2021-04-11 19:07:10",9180
"2021-04-11 20:07:32",8937
"2021-04-11 21:08:59",8734
"2021-04-11 22:08:10",8624
"2021-04-11 23:07:01",8521
"2021-04-12 00:07:04",8721
"2021-04-12 01:06:55",8892
"2021-04-12 02:06:53",8814
"2021-04-12 03:06:48",8582
"2021-04-12 04:06:46",8447
"2021-04-12 05:06:35",8384
"2021-04-12 06:06:44",8265
"2021-04-12 07:06:50",8232
"2021-04-12 08:07:08",8316
"2021-04-12 09:07:32",8398
"2021-04-12 10:07:57",8407
"2021-04-12 11:07:42",8391
"2021-04-12 12:08:08",8567
"2021-04-12 13:08:07",8427
"2021-04-12 14:07:55",8469
"2021-04-12 15:08:11",8520
"2021-04-12 16:07:47",8554
"2021-04-12 17:07:26",8554
"2021-04-12 18:07:46",8648
"2021-04-12 19:07:46",9284
"2021-04-12 20:08:20",9607
"2021-04-12 21:08:34",9596
"2021-04-12 22:08:11",9435
"2021-04-12 23:07:27",9286
"2021-04-13 00:07:21",9575
"2021-04-13 01:07:10",9569
"2021-04-13 02:06:53",9548
"2021-04-13 03:06:49",9498
"2021-04-13 04:06:52",9512
"2021-04-13 05:06:46",9482
"2021-04-13 06:07:06",9520
"2021-04-13 07:06:49",9475
"2021-04-13 08:07:04",9542
"2021-04-13 09:07:20",9536
"2021-04-13 10:07:30",9509
"2021-04-13 11:08:12",9482
"2021-04-13 12:08:11",9516
"2021-04-13 13:08:03",9412
"2021-04-13 14:07:57",9377
"2021-04-13 15:07:58",9343
"2021-04-13 16:07:55",9323
"2021-04-13 17:07:39",9277
"2021-04-13 18:07:30",9303
"2021-04-13 19:07:22",9233
"2021-04-13 20:07:41",9230
"2021-04-13 21:07:35",9210
"2021-04-13 22:07:28",9258
"2021-04-13 23:07:34",9248
"2021-04-14 00:10:36",9233
"2021-04-14 01:07:38",9242
"2021-04-14 02:08:40",9306
"2021-04-14 03:08:38",9302
"2021-04-14 04:08:08",9298
"2021-04-14 05:08:11",9247
"2021-04-14 06:06:25",9238
"2021-04-14 07:06:26",9256
"2021-04-14 08:06:35",9215
"2021-04-14 09:06:42",9189
"2021-04-14 10:07:00",9180
"2021-04-14 11:07:24",9175
"2021-04-14 12:07:32",9170
"2021-04-14 13:07:47",9184
"2021-04-14 14:07:22",9059
"2021-04-14 15:07:32",9141
"2021-04-14 16:07:13",9213
"2021-04-14 17:06:53",9100
"2021-04-14 19:06:20",9126
"2021-04-14 20:06:36",9118
"2021-04-14 21:06:37",9142
"2021-04-14 22:06:39",9107
"2021-04-14 23:06:39",9053
"2021-04-15 00:06:36",9048
"2021-04-15 01:06:19",9023
"2021-04-15 02:06:23",9022
"2021-04-15 03:06:08",9036
"2021-04-15 04:06:15",9016
"2021-04-15 05:06:07",9033
"2021-04-15 06:06:09",9024
"2021-04-15 07:06:14",9023
"2021-04-15 08:06:23",9008
"2021-04-15 09:06:41",8978
"2021-04-15 10:07:09",8984
"2021-04-15 11:07:31",8953
"2021-04-15 12:07:30",8830
"2021-04-15 13:08:52",8851
"2021-04-15 14:08:33",8819
"2021-04-15 15:07:37",8819
"2021-04-15 16:07:40",8819
"2021-04-15 17:07:50",8849
"2021-04-15 18:10:11",8834
"2021-04-15 19:07:52",8829
"2021-04-15 20:08:03",8730
"2021-04-15 21:08:00",8705
"2021-04-15 22:08:50",8541
"2021-04-15 23:07:10",8518
"2021-04-16 00:07:07",8590
"2021-04-16 01:06:49",8581
"2021-04-16 02:06:42",8459
"2021-04-16 03:08:37",8449
"2021-04-16 04:08:28",8544
"2021-04-16 05:08:24",8551
"2021-04-16 06:08:10",8558
"2021-04-16 07:08:04",8556
"2021-04-16 08:11:21",8541
"2021-04-16 09:06:59",8505
"2021-04-16 10:07:34",8534
"2021-04-16 11:07:47",8490
"2021-04-16 12:07:47",8522
"2021-04-16 13:07:46",8670
